s2_ps,s2_fs
0.22195,0.252741
0.21829,0.233491
0.226941,0.186266
0.206505,0.207772
0.20941,0.249822
0.222251,0.266309
0.173795,0.226752
0.217399,0.267247
0.222631,0.268357
0.217303,0.203395
0.205955,0.209326
0.259171,0.28441
0.264604,0.281124
0.188618,0.287823
0.224575,0.242173
0.178718,0.250151
0.234446,0.262487
0.206447,0.205465
0.220727,0.12431
0.191208,0.259334
0.220054,0.24899
0.183073,0.169874
0.232138,0.154725
0.206516,0.14157
0.219578,0.292878
0.188344,0.271913
0.203355,0.277303
0.21638,0.283752
0.210294,0.280574
0.172092,0.301675
0.203927,0.300302
0.204029,0.287221
0.168975,0.231099
0.216345,0.272475
0.191512,0.207723
0.201669,0.305543
0.215636,0.245076
0.200936,0.321996
0.242269,0.270231
0.231127,0.24389
0.204223,0.294186
0.196673,0.247748
0.190254,0.283506
0.205961,0.268896
0.142055,0.301945
0.236138,0.241643
0.213418,0.289842
0.222723,0.271646
0.230695,0.255822
0.200377,0.289582
